id,challenge_id,type,content,data
14,14,static,neimark{n0t_s4f3_527ee2cd4cf4cb},
16,15,static,neimark{m4th1ng_th1ng_0c380aed},
17,16,static,neimark{such_1nv3rt3d_numb3rs_efef30b9},
18,17,static,neimark{pr0st0_v0sym0y_cl455_44fb89c7},
21,19,static,neimark{a1s0_n0t_s4f3_99cd8425},
22,20,static,neimark{h3ll0_3cb_he11o_2f5383a},
23,20,static,crypto{3cb_5uck5_4v01d_17_!!!!!},
24,21,static,ugra_like_sage_but_it_is_white_6df343a60,
25,22,static,flag{this_was_a_little_too_easy},
26,23,static,DUCKERZ{R34lly_g00d_ph0t0_0f_cl4ss},
27,24,static,DUCKERZ{st3g0_c4n_b3_1n_4ud10_t00},
28,25,static,DUCKERZ{LSB_1s_b4s3_0f_1m4g3_st3g4n0gr4phy},
29,26,static,DUCKERZ{m0r3_sp4c3s_f0r_sn0w},
30,27,static,SAS{50m3_3leph4n7s_c4n_h1d3_7h31r_53cr3ts_1n_l0c4l_p4ll3tes},
31,28,static,DUCKERZ{z3r0_w1dth_sp4c3_1s_r34l},
32,29,static,DUCKERZ{HEXr3d4ct0r_v3ry_us3full},
33,30,static,neimark{l1k3_pn6_8d0ef830},
35,31,static,neimark{p4r4m5_r3c0v3r3d_3as1ly_f04f05ab},
36,32,static,neimark{m0d_1nv3rs3_8b304bf9},
37,33,static,neimark{s0m3_m4g1c_h3r3_9c46af8d},
38,34,static,neimark{4lm05t_r54_e28e4657},
39,35,static,neimark{d1r3ct10n_0f_r54_0983734e},
40,36,static,neimark{fu11_0n_r54_28e39757},
41,37,static,neimark{c00l3r_3cb_2f2b57d9c644},
42,37,static,crypto{p3n6u1n5_h473_3cb},
43,38,static,neimark{5up3r_n1c3_1c060df5},
45,40,static,neimark{r34l_r4al_r54_53b119e3},
46,41,static,neimark{dlp_1s_s0_cl0s3_000ec38f},
47,44,static,miactf{S1d1m_s_B0br0m_za_St0l0m},
48,38,static,crypto{4u7h3n71c4710n_15_3553n714l},
49,45,static,neimark{a1m05t_h4rd_n0w_484eb8bc},
50,46,static,neimark{n0w_th1s_1s_h4rd_ef9ee9e5},
51,47,static,neimark{sup3r_l4tt1c3s_e7ce4fd4},
53,49,static,neimark{43s_1s_v3ry_s4f3_but_1f_us3d_c0rr3ctly_251e2ea7},
54,50,static,neimark{th3_s4m3_4g41n_c6d60ac4},
55,51,static,neimark{3gyp3tsk4y4_s1l4_9fcc09ad},
56,53,static,neimark{n0w_r34l_3gyp3tsk4y4_s1l4_ebe98780},
58,54,static,neimark{unr34l_p0w3r_48af872f},
62,58,static,neimark{s3cr3t_fl4g_4fcfcf71},